Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity
336,342,84,19.79898987,18.38477631,0.371153744,4.542199792
337,380,86,24.04163056,19.79898987,0.567273574,4.411706914
338,345,82,20.61552813,19.6977156,0.295057322,4.414731597
339,315,77,20,19,0.3122499,4.338458508
340,326,77,21.1896201,18.97366596,0.445217096,4.264635572
341,279,71,20,16,0.6,4.250658815
342,316,80,19.84943324,19.20937271,0.251896361,4.500351604
343,363,84,22,20,0.41659779,4.408856601
344,364,86,22.13594362,20.24845673,0.404061018,4.507624798
345,362,87,22.47220505,18.97366596,0.535843926,4.572618482
346,380,86,24,19,0.610953262,4.411706914
347,316,77,19.6977156,18.78829423,0.300343446,4.331588419
348,344,82,21.37755833,20.22374842,0.324087678,4.421143701
350,435,121,36.67424164,21.9317122,0.801485609,6.904271541
351,335,78,21.09502311,19.10497317,0.423999152,4.261595245
352,323,76,20.22374842,19.41648784,0.279713441,4.228753119
353,389,88,22.8035085,19.92485885,0.486352199,4.461777114
355,357,84,21.26029163,20.61552813,0.244406451,4.445751442
356,360,86,21.63330765,20,0.38118125,4.53259798
357,348,87,21.9317122,19.10497317,0.49108476,4.663689527
359,355,82,22,19,0.504115296,4.352108118
360,375,90,23.40939982,20.61552813,0.47376424,4.647580015
361,311,74,20,17,0.526782688,4.196155031
362,340,80,22.8035085,17.4642492,0.64300975,4.338609156
364,382,87,23.70653918,19.23538406,0.584497229,4.451307238
365,364,84,21.9544984,19.23538406,0.48204268,4.402796314
366,384,85,24,19,0.610953262,4.337638086
367,381,86,23.60084744,19.41648784,0.568471446,4.405913468
368,364,84,22.36067977,20.39607805,0.409878031,4.402796314
369,357,82,22.627417,20.51828453,0.421585549,4.339900217
370,391,90,24.75883681,19.10497317,0.636056365,4.551495637
371,339,80,21,18,0.515078754,4.345003573
372,332,81,21.9544984,18.35755975,0.548479604,4.44545253
373,335,83,22.84731932,16.55294536,0.689271924,4.534774427
374,344,81,21.9317122,19.79898987,0.430152514,4.367227315
375,368,84,22.84731932,18.78829423,0.568994542,4.378802695
376,335,80,21.02379604,18.78829423,0.448728722,4.370866918
377,326,79,22.09072203,18.11077028,0.572598334,4.375405327
378,394,88,22.627417,19.79898987,0.484122918,4.433375952
379,374,84,23,19,0.563542669,4.343536596
380,361,86,21.26029163,19.84943324,0.358215834,4.526315789
381,352,82,21,20,0.304910678,4.370614685
382,373,84,22,20,0.41659779,4.349355134
383,364,80,23,17,0.673562321,4.193139347
384,374,85,25,18,0.693974063,4.395245365
385,338,79,21,19,0.42591771,4.297033516
387,363,82,22,19,0.504115296,4.303883825
388,363,83,22,19,0.504115296,4.356370213
389,365,84,23.2594067,18.78829423,0.589495226,4.39676095
390,340,79,21.58703314,19.6468827,0.414335395,4.284376542
391,389,83,22,20,0.41659779,4.20826705
392,376,85,25,18,0.693974063,4.383540297
393,355,86,22,19,0.504115296,4.564406075
394,272,69,20,15,0.661437828,4.183739532
397,412,88,26.17250466,19.79898987,0.654016228,4.335448824
398,338,77,20,18,0.435889894,4.188247858
400,408,88,23,21,0.40786224,4.356649189
401,384,84,23,20,0.493818117,4.28660705
402,353,81,21,20,0.304910678,4.311194993
403,360,85,23.43074903,17.69180601,0.655646624,4.479893352
405,391,86,25,19.92485885,0.603986755,4.349206942
406,362,84,22.47220505,20.24845673,0.433726656,4.414941982
407,433,94,26,21,0.58960422,4.517351715
408,405,86,22,20,0.41659779,4.273374357
410,364,83,23.40939982,19.31320792,0.565104473,4.350382072
411,419,90,25.55386468,19.72308292,0.63583638,4.396787719
412,429,89,24,20,0.552770798,4.296960491
